number,learning_rate,subsample,max_depth,colsample_bytree,min_child_weight,value,std_err
140,0.05,1,3,0.9,1,0.8718217602704602,0.002263432328384015
141,0.1,1,3,0.9,1,0.8771524698011434,0.0016107153490793635
142,0.2,1,3,0.9,1,0.8797818417503941,0.002019793528132818
143,0.4,1,3,0.9,1,0.8773726401207954,0.0012847283760238795
144,0.05,0.5,5,0.9,1,0.8868618354827069,0.0017691426985402168
145,0.1,0.5,5,0.9,1,0.8849760688306015,0.0015887830066325871
146,0.2,0.5,5,0.9,1,0.8783552306698829,8.30916628847084e-4
147,0.4,0.5,5,0.9,1,0.8619145707109077,0.0015813237688150036
148,0.05,0.7,5,0.9,1,0.8870614102771077,0.0014080368443851053
149,0.1,0.7,5,0.9,1,0.8866077151905947,0.001895631050937632
150,0.2,0.7,5,0.9,1,0.8813228559286623,0.0017547200359646123
151,0.4,0.7,5,0.9,1,0.8689300773014758,0.0018292440898491139
152,0.05,0.85,5,0.9,1,0.885822918842947,0.0016520788769902584
153,0.1,0.85,5,0.9,1,0.8857673643425575,0.0013810261222851183
154,0.2,0.85,5,0.9,1,0.8806787857780479,0.0013325944842524555
155,0.4,0.85,5,0.9,1,0.8717036772805835,0.001556958916060285
156,0.05,1,5,0.9,1,0.8851950817648288,0.0015113419275418775
157,0.1,1,5,0.9,1,0.8847580352225028,0.0011989512991351257
158,0.2,1,5,0.9,1,0.881457735845473,0.0010889230142960816
159,0.4,1,5,0.9,1,0.8719815388121783,0.001990916721245953
160,0.05,0.5,7,0.9,1,0.8902398280659437,0.0012140158380742644
161,0.1,0.5,7,0.9,1,0.8867521806328464,0.002011388656124845
162,0.2,0.5,7,0.9,1,0.8813044267915139,0.0013811923856003332
163,0.4,0.5,7,0.9,1,0.8675718706672237,0.0014597740358084999
164,0.05,0.7,7,0.9,1,0.8894062434711592,0.0014866184423022318
165,0.1,0.7,7,0.9,1,0.8874302304324704,0.001481314357374032
166,0.2,0.7,7,0.9,1,0.881288223395567,0.0013587193506759143
167,0.4,0.7,7,0.9,1,0.8732549892214773,8.394422465167217e-4
168,0.05,0.85,7,0.9,1,0.8896570993428425,0.0012164765345873524
169,0.1,0.85,7,0.9,1,0.8868130472355701,9.037176744318932e-4
170,0.2,0.85,7,0.9,1,0.8819952375073598,0.0010733224631490673
171,0.4,0.85,7,0.9,1,0.8762602740213861,9.87962131771744e-4
172,0.05,1,7,0.9,1,0.88722742089419,0.0012381413307438948
173,0.1,1,7,0.9,1,0.8851742785037321,8.792473847790843e-4
174,0.2,1,7,0.9,1,0.8811952467664432,0.0011779540900685866
175,0.4,1,7,0.9,1,0.8752779505612429,0.002197972747385703
176,0.05,0.5,9,0.9,1,0.8910581292378112,7.349809210661448e-4
177,0.1,0.5,9,0.9,1,0.8891196867106038,0.0024015589267611
178,0.2,0.5,9,0.9,1,0.8819777283432414,0.0019743828945239833
179,0.4,0.5,9,0.9,1,0.8732482823213235,0.0017534781833360024
180,0.05,0.7,9,0.9,1,0.8910552209359746,0.001114954928667928
181,0.1,0.7,9,0.9,1,0.8885679403050275,0.0011656535590713617
182,0.2,0.7,9,0.9,1,0.8840638117034815,0.0016560463343832036
183,0.4,0.7,9,0.9,1,0.8774985577197014,0.0014252012377912887
184,0.05,0.85,9,0.9,1,0.890790149997151,0.0011982814593778192
185,0.1,0.85,9,0.9,1,0.8883901480978519,0.001100030003067769
186,0.2,0.85,9,0.9,1,0.8851210684507417,7.159116192494745e-4
187,0.4,0.85,9,0.9,1,0.8791589309794685,0.001621046901666149
188,0.05,1,9,0.9,1,0.8876509052534615,0.001471725261077508
189,0.1,1,9,0.9,1,0.8851572738409527,0.0014988245720723085
190,0.2,1,9,0.9,1,0.88505322785892,0.0011709409829193775
191,0.4,1,9,0.9,1,0.8805731966154489,0.0012845802072831572
192,0.05,0.5,3,0.6,3,0.8752269365729046,0.0021530328894310328
193,0.1,0.5,3,0.6,3,0.8788896756471862,0.0019957629920585667
194,0.2,0.5,3,0.6,3,0.8794118048565079,0.001678505758397333
195,0.4,0.5,3,0.6,3,0.8731734677404038,0.0017017474277373826
196,0.05,0.7,3,0.6,3,0.8755827583996505,0.0019358437049568024
197,0.1,0.7,3,0.6,3,0.8797171765493533,0.0018535588542379282
198,0.2,0.7,3,0.6,3,0.8804338652162352,0.0016823672332484602
199,0.4,0.7,3,0.6,3,0.8761369679588232,0.0016698204228224546
200,0.05,0.85,3,0.6,3,0.8753808688344001,0.002000466766846405
