number,max_depth,min_samples_leaf,max_features,min_samples_split,value,std_err
112,4,50,all,10,0.8642950879822631,0.0013094660414934786
113,8,50,all,10,0.8900699095976392,0.0013252662509586402
114,16,50,all,10,0.8939663255109529,0.001247202943698726
115,32,50,all,10,0.8948305541243149,0.00113163871719028
116,4,100,all,10,0.8614492189329711,0.0016807614736493097
117,8,100,all,10,0.8814131028775742,0.0013032462331869171
118,16,100,all,10,0.8847317204552907,0.001429487002313513
119,32,100,all,10,0.8855691718581666,0.0012374294638327484
120,4,1,sqrt,50,0.8698386048526863,0.001753433114866442
121,8,1,sqrt,50,0.8881298109201056,0.00137017570887608
122,16,1,sqrt,50,0.9002867035146065,0.0013888317571090192
123,32,1,sqrt,50,0.9007732602619951,0.0014260340626727382
124,4,5,sqrt,50,0.8696464217683889,0.001153081985455046
125,8,5,sqrt,50,0.8882246631380081,0.0013491775157307788
126,16,5,sqrt,50,0.8994836994707012,0.0014244991678359236
127,32,5,sqrt,50,0.8999454111824129,0.0013688392762776088
128,4,20,sqrt,50,0.8706198280169251,0.0012407823269276438
129,8,20,sqrt,50,0.8873186292878668,0.0013810711730893935
130,16,20,sqrt,50,0.896264871890955,0.0014040291442604447
131,32,20,sqrt,50,0.8963684481708746,0.0013302916202168767
132,4,50,sqrt,50,0.8687909074585851,0.0018757586470518996
133,8,50,sqrt,50,0.8846119841678767,0.0013198820269532444
134,16,50,sqrt,50,0.8908197300420004,0.001332690438361563
135,32,50,sqrt,50,0.8909271121207862,0.0013383095980978859
136,4,100,sqrt,50,0.8684570510718691,0.0010561737608397951
137,8,100,sqrt,50,0.8827089285993098,0.0012615147166050158
138,16,100,sqrt,50,0.8858139920683249,0.0010436310225955358
139,32,100,sqrt,50,0.885609357190813,0.0013443809934171463
140,4,1,log2,50,0.8704912603244492,0.0014183771617802274
141,8,1,log2,50,0.885016491795088,0.001328864526426634
142,16,1,log2,50,0.8963640958983247,0.0012797823675784763
143,32,1,log2,50,0.8970551899386389,0.0013865831361402376
144,4,5,log2,50,0.8700738227395506,7.971092927616956e-4
145,8,5,log2,50,0.8854700454353833,0.0012411776770791146
146,16,5,log2,50,0.8960393734288882,0.0012769680597187114
147,32,5,log2,50,0.8961729667275594,0.001377150946127054
148,4,20,log2,50,0.8697691051103096,0.0011311143676637195
149,8,20,log2,50,0.8843250269333458,0.0012115798411985936
150,16,20,log2,50,0.8924202343591425,0.0012684737533355346
151,32,20,log2,50,0.8927418731556513,0.0013544416605574259
152,4,50,log2,50,0.869264729417459,9.5520608958798e-4
153,8,50,log2,50,0.88287320249192,0.0011633050342647045
154,16,50,log2,50,0.8878067083548019,0.0012126342648782246
155,32,50,log2,50,0.8876350375505488,0.001145601680327512
156,4,100,log2,50,0.8690136833106937,0.0013861898888700638
157,8,100,log2,50,0.8797134721376489,0.0011251704798370776
158,16,100,log2,50,0.8826654253907287,0.0012129732780954451
159,32,100,log2,50,0.8827977696066951,0.0013812196623151874
160,4,1,all,50,0.8649221372585757,0.0016219087737070613
161,8,1,all,50,0.8998985998563555,0.0014099706255054176
162,16,1,all,50,0.9052949201367746,0.0013289408416595312
