number,learning_rate,subsample,max_depth,colsample_bytree,value,std_err
145,0.05,0.7,9,0.75,0.9143586253064157,0.0010148877155307912
146,0.1,0.7,9,0.75,0.9113714830515091,0.0010392981710030341
147,0.2,0.7,9,0.75,0.9061999878995113,0.0012525681305966348
148,0.3,0.7,9,0.75,0.9044843240120537,0.001245815839915517
149,0.5,0.7,9,0.75,0.8961105028338564,0.001226864196408
150,0.05,0.85,9,0.75,0.9150089972988587,0.0011804661221871686
151,0.1,0.85,9,0.75,0.911825261136353,0.0011178713927998134
152,0.2,0.85,9,0.75,0.908441359470389,0.001126387180088391
153,0.3,0.85,9,0.75,0.9050037765234905,9.339194664660346e-4
154,0.5,0.85,9,0.75,0.899465382843849,5.571654346368904e-4
155,0.05,1,9,0.75,0.9136848915640077,0.0013473131528858341
156,0.1,1,9,0.75,0.9115649347354287,0.001534162878321846
157,0.2,1,9,0.75,0.9083041945758583,0.0014021510376055427
158,0.3,1,9,0.75,0.9061802855715334,0.0016607613001065236
159,0.5,1,9,0.75,0.9029029072399957,8.026892930076438e-4
160,0.05,0.5,3,0.9,0.8999506612331569,0.001105009156125134
161,0.1,0.5,3,0.9,0.9029331194279201,0.001112474432535293
162,0.2,0.5,3,0.9,0.9041167716676816,0.0010100003792599082
163,0.3,0.5,3,0.9,0.9029724362577481,0.0012027597462071005
164,0.5,0.5,3,0.9,0.8977551349009321,0.0010612088233728216
165,0.05,0.7,3,0.9,0.9003852737052477,0.0010941302708883374
166,0.1,0.7,3,0.9,0.9039365622121255,0.001024790231575704
167,0.2,0.7,3,0.9,0.905744707012038,0.0012274434293050743
168,0.3,0.7,3,0.9,0.9051786968944682,8.64066260932403e-4
169,0.5,0.7,3,0.9,0.9007782273174387,9.446818968698178e-4
170,0.05,0.85,3,0.9,0.9000658793542242,0.001144882068144248
171,0.1,0.85,3,0.9,0.9035466922728621,0.0010175067190234036
172,0.2,0.85,3,0.9,0.9054967933704935,9.331979952919687e-4
173,0.3,0.85,3,0.9,0.9059261069995472,0.0011279590858785638
174,0.5,0.85,3,0.9,0.9039947909347823,0.0012233833359451404
175,0.05,1,3,0.9,0.8990208460193295,0.0011267791591865893
176,0.1,1,3,0.9,0.9030509332989836,0.0012007811768428903
177,0.2,1,3,0.9,0.9055973054944025,0.0012997449570003585
178,0.3,1,3,0.9,0.9061952160132403,0.0011632504872484731
179,0.5,1,3,0.9,0.9047437038424907,0.0010303740011291921
180,0.05,0.5,5,0.9,0.9093441535122644,0.0012278788491615006
181,0.1,0.5,5,0.9,0.9092026363451841,0.0011359721445398058
182,0.2,0.5,5,0.9,0.9045380345683639,0.0014180433480922101
183,0.3,0.5,5,0.9,0.8983055705185254,0.0010045157340218926
184,0.5,0.5,5,0.9,0.8833679563445594,0.0018755064239824432
185,0.05,0.7,5,0.9,0.9096850652645714,0.0012257106909254812
186,0.1,0.7,5,0.9,0.910086723421862,0.0011737044707090126
187,0.2,0.7,5,0.9,0.907006348853186,0.001264781581635323
188,0.3,0.7,5,0.9,0.901614956594376,0.0011820697149635786
189,0.5,0.7,5,0.9,0.8920522624010493,0.0015063257013264181
190,0.05,0.85,5,0.9,0.9101883870438896,0.0012347322402063452
191,0.1,0.85,5,0.9,0.9108507912158259,0.001367935525089002
192,0.2,0.85,5,0.9,0.9076779552516121,8.73215934482187e-4
193,0.3,0.85,5,0.9,0.9044062368260808,0.0010117089812019656
194,0.5,0.85,5,0.9,0.8959640771620841,0.0011500220042022036
195,0.05,1,5,0.9,0.9089026613268381,0.001468931143325899
196,0.1,1,5,0.9,0.9100236935375584,0.0013553718049017932
197,0.2,1,5,0.9,0.9097582634627696,0.001246926872006142
198,0.3,1,5,0.9,0.9061101710462629,9.421110337835707e-4
199,0.5,1,5,0.9,0.8984473316470717,0.0014368619289143664
200,0.05,0.5,7,0.9,0.9119806743485253,0.0012562549143107747
201,0.1,0.5,7,0.9,0.9087867796305839,0.0012649163685616975
202,0.2,0.5,7,0.9,0.9012445352631662,0.0010853917680090325
203,0.3,0.5,7,0.9,0.8936152844785861,8.374931780674721e-4
204,0.5,0.5,7,0.9,0.8812643839680235,9.202544611467735e-4
205,0.05,0.7,7,0.9,0.9128840246225428,0.001322128764435947
206,0.1,0.7,7,0.9,0.9112758111230815,0.0010182966162128992
207,0.2,0.7,7,0.9,0.90439504387403,0.0013388903915207853
208,0.3,0.7,7,0.9,0.8996217914188018,0.0010024343783097747
209,0.5,0.7,7,0.9,0.8923234694833482,9.786813766981437e-4
210,0.05,0.85,7,0.9,0.9130108943432167,0.0015173625814182631
211,0.1,0.85,7,0.9,0.9113403438100145,0.0010449795938069276
212,0.2,0.85,7,0.9,0.9066087014223929,0.0013037895298643317
213,0.3,0.85,7,0.9,0.9028053226536762,0.0011883790651044147
214,0.5,0.85,7,0.9,0.897094477493091,0.0012389407080495632
215,0.05,1,7,0.9,0.9123577802238981,0.0014925514983071334
216,0.1,1,7,0.9,0.9111004711383828,0.001463656291183489
217,0.2,1,7,0.9,0.9080589352350618,0.001261522204858084
218,0.3,1,7,0.9,0.9057817501210049,0.0012322155256595346
219,0.5,1,7,0.9,0.9005843072275048,0.0016493357315499986
220,0.05,0.5,9,0.9,0.912482288397583,0.0013847474689271226
221,0.1,0.5,9,0.9,0.9083255753587209,9.223395273346965e-4
222,0.2,0.5,9,0.9,0.9011563675894265,0.0015841154280759138
223,0.3,0.5,9,0.9,0.8948756772370291,0.0014297208662349128
224,0.5,0.5,9,0.9,0.8872904468593377,0.0010659357059101505
225,0.05,0.7,9,0.9,0.9133619353755835,0.0011327352715922749
226,0.1,0.7,9,0.9,0.9110439501459866,0.001068952798929326
227,0.2,0.7,9,0.9,0.9054138855059566,9.695183978762771e-4
228,0.3,0.7,9,0.9,0.9027631173200931,0.001199184100067909
229,0.5,0.7,9,0.9,0.896564368744828,0.0014040916625207983
230,0.05,0.85,9,0.9,0.9138287312442425,0.00123761568197748
231,0.1,0.85,9,0.9,0.911531892594501,0.0010341455260222993
232,0.2,0.85,9,0.9,0.9074619615282526,0.0010820896245339467
233,0.3,0.85,9,0.9,0.9050443326775649,0.0013109248657250728
234,0.5,0.85,9,0.9,0.90037559331428485,0.0013851440778678437
235,0.05,1,9,0.9,0.9123463628272988,0.0014428890652663793
236,0.1,1,9,0.9,0.910544931846925,0.001138875455805238
237,0.2,1,9,0.9,0.908257939481943,0.001352423248164459
238,0.3,1,9,0.9,0.9064794311208956,0.001424639497316558
239,0.5,1,9,0.9,0.9020998934376318,0.0012118391026237777
