number,learning_rate,subsample,gamma,value,std_err
90,0.05,0.8,1,0.850154888155807,0.00339598289200273
91,0.1,0.8,1,0.8462452614125849,0.003466789350046095
92,0.2,0.8,1,0.8385014378737673,0.0034593131427867953
93,0.3,0.8,1,0.833836343151219,0.0035522442884402786
94,0.5,0.8,1,0.8212685392235728,0.002180328949312284
95,0.05,1,1,0.8462390498963107,0.0037492165215942106
96,0.1,1,1,0.8456207887764666,0.0036705836229510755
97,0.2,1,1,0.8431128737057291,0.003322204402549918
98,0.3,1,1,0.8412309380250577,0.0031113855230121084
99,0.5,1,1,0.8324905043751215,0.003523933994809103
