number,min_impurity_decrease,min_samples_leaf,min_weight_fraction_leaf,value,std_err
93,0.005,2,0.1,0.6413930129978821,0.002403300387028155
94,0.01,2,0.1,0.6413930129978821,0.002403300387028155
95,0.02,2,0.1,0.6413930129978821,0.002403300387028155
96,0.05,2,0.1,0.6413930129978821,0.002403300387028155
97,0.1,2,0.1,0.5,0
98,0,5,0.1,0.6413930129978821,0.002403300387028155
99,0.001,5,0.1,0.6413930129978821,0.002403300387028155
100,0.005,5,0.1,0.6413930129978821,0.002403300387028155
101,0.01,5,0.1,0.6413930129978821,0.002403300387028155
102,0.02,5,0.1,0.6413930129978821,0.002403300387028155
103,0.05,5,0.1,0.6413930129978821,0.002403300387028155
104,0.1,5,0.1,0.5,0
105,0,10,0.1,0.6413930129978821,0.002403300387028155
106,0.001,10,0.1,0.6413930129978821,0.002403300387028155
107,0.005,10,0.1,0.6413930129978821,0.002403300387028155
108,0.01,10,0.1,0.6413930129978821,0.002403300387028155
109,0.02,10,0.1,0.6413930129978821,0.002403300387028155
110,0.05,10,0.1,0.6413930129978821,0.002403300387028155
111,0.1,10,0.1,0.5,0
112,0,1,0.2,0.6244049967547995,0.0024401171682002613
113,0.001,1,0.2,0.6244049967547995,0.0024401171682002613
114,0.005,1,0.2,0.6005531145384984,0.025223647808385943
115,0.01,1,0.2,0.6005531145384984,0.025223647808385943
116,0.02,1,0.2,0.5248751665300266,0.024875166530026638
117,0.05,1,0.2,0.5,0
118,0.1,1,0.2,0.5,0
119,0,2,0.2,0.6244049967547995,0.0024401171682002613
120,0.001,2,0.2,0.6244049967547995,0.0024401171682002613
121,0.005,2,0.2,0.6005531145384984,0.025223647808385943
122,0.01,2,0.2,0.6005531145384984,0.025223647808385943
123,0.02,2,0.2,0.5248751665300266,0.024875166530026638
124,0.05,2,0.2,0.5,0
125,0.1,2,0.2,0.5,0
126,0,5,0.2,0.6244049967547995,0.0024401171682002613
127,0.001,5,0.2,0.6244049967547995,0.0024401171682002613
128,0.005,5,0.2,0.6005531145384984,0.025223647808385943
129,0.01,5,0.2,0.6005531145384984,0.025223647808385943
130,0.02,5,0.2,0.5248751665300266,0.024875166530026638
131,0.05,5,0.2,0.5,0
132,0.1,5,0.2,0.5,0
