number,min_impurity_decrease,min_weight_fraction_leaf,max_depth,value,std_err
105,0,0,12,0.7641237227213158,0.0033455733605877195
106,0.001,0,12,0.8479005621925509,0.002525857783460379
107,0.005,0,12,0.834382389460789,0.00454215002880643
108,0.01,0,12,0.77914510170747,0.003944895766662582
109,0.02,0,12,0.7707659279975689,0.0025309863785783655
110,0.05,0,12,0.7047583675998557,0.01091419798941531
111,0.1,0,12,0.6889032853127196,0.00171594293300222
112,0,0.01,12,0.8395386305578242,0.0019844929696413148
113,0.001,0.01,12,0.838767574452527,0.0022129323590388194
114,0.005,0.01,12,0.8336566494463543,0.003949859893570312
115,0.01,0.01,12,0.780026020398473,0.004602280429068996
116,0.02,0.01,12,0.7707659279975689,0.0025309863785783655
117,0.05,0.01,12,0.7047583675998557,0.01091419798941531
118,0.1,0.01,12,0.6889032853127196,0.00171594293300222
119,0,0.05,12,0.8116076261609466,0.0030863697614007023
120,0.001,0.05,12,0.7950765714326413,0.0070026731645418385
121,0.005,0.05,12,0.7852954181781923,0.0028347566456119206
122,0.01,0.05,12,0.7735582538793185,0.0035787165792445716
123,0.02,0.05,12,0.7707659279975689,0.0025309863785783655
124,0.05,0.05,12,0.7047583675998557,0.01091419798941531
125,0.1,0.05,12,0.6889032853127196,0.00171594293300222
126,0,0.1,12,0.7350571154868853,0.0035367693325477137
127,0.001,0.1,12,0.7350571154868853,0.0035367693325477137
128,0.005,0.1,12,0.731259911967484,0.0014610769309398265
129,0.01,0.1,12,0.731259911967484,0.0014610769309398265
130,0.02,0.1,12,0.731259911967484,0.0014610769309398265
131,0.05,0.1,12,0.7047583675998557,0.01091419798941531
132,0.1,0.1,12,0.6889032853127196,0.00171594293300222
133,0,0.2,12,0.6972177641450304,0.00772849427412621
134,0.001,0.2,12,0.6889032853127196,0.00171594293300222
135,0.005,0.2,12,0.6889032853127196,0.00171594293300222
136,0.01,0.2,12,0.6889032853127196,0.00171594293300222
137,0.02,0.2,12,0.6889032853127196,0.00171594293300222
138,0.05,0.2,12,0.6889032853127196,0.00171594293300222
139,0.1,0.2,12,0.6889032853127196,0.00171594293300222
140,0,0,20,0.7183795773109722,0.005295741502060218
141,0.001,0,20,0.8479005621925509,0.002525857783460379
142,0.005,0,20,0.834382389460789,0.00454215002880643
143,0.01,0,20,0.77914510170747,0.003944895766662582
144,0.02,0,20,0.7707659279975689,0.0025309863785783655
145,0.05,0,20,0.7047583675998557,0.01091419798941531
146,0.1,0,20,0.6889032853127196,0.00171594293300222
147,0,0.01,20,0.8395386305578242,0.0019844929696413148
148,0.001,0.01,20,0.838767574452527,0.0022129323590388194
149,0.005,0.01,20,0.8336566494463543,0.003949859893570312
150,0.01,0.01,20,0.780026020398473,0.004602280429068996
151,0.02,0.01,20,0.7707659279975689,0.0025309863785783655
152,0.05,0.01,20,0.7047583675998557,0.01091419798941531
153,0.1,0.01,20,0.6889032853127196,0.00171594293300222
154,0,0.05,20,0.8116076261609466,0.0030863697614007023
155,0.001,0.05,20,0.7950765714326413,0.0070026731645418385
156,0.005,0.05,20,0.7852954181781923,0.0028347566456119206
157,0.01,0.05,20,0.7735582538793185,0.0035787165792445716
158,0.02,0.05,20,0.7707659279975689,0.0025309863785783655
159,0.05,0.05,20,0.7047583675998557,0.01091419798941531
160,0.1,0.05,20,0.6889032853127196,0.00171594293300222
161,0,0.1,20,0.7350571154868853,0.0035367693325477137
162,0.001,0.1,20,0.7350571154868853,0.0035367693325477137
163,0.005,0.1,20,0.731259911967484,0.0014610769309398265
164,0.01,0.1,20,0.731259911967484,0.0014610769309398265
165,0.02,0.1,20,0.731259911967484,0.0014610769309398265
166,0.05,0.1,20,0.7047583675998557,0.01091419798941531
167,0.1,0.1,20,0.6889032853127196,0.00171594293300222
168,0,0.2,20,0.6972177641450304,0.00772849427412621
169,0.001,0.2,20,0.6889032853127196,0.00171594293300222
170,0.005,0.2,20,0.6889032853127196,0.00171594293300222
171,0.01,0.2,20,0.6889032853127196,0.00171594293300222
172,0.02,0.2,20,0.6889032853127196,0.00171594293300222
173,0.05,0.2,20,0.6889032853127196,0.00171594293300222
174,0.1,0.2,20,0.6889032853127196,0.00171594293300222
