number,min_impurity_decrease,min_weight_fraction_leaf,max_depth,min_samples_split,value,std_err
66,0.01,0.2,5,2,0.7096584149140475,0.0016178934983648063
67,0.02,0.2,5,2,0.7096584149140475,0.0016178934983648063
68,0.05,0.2,5,2,0.7096584149140475,0.0016178934983648063
69,0.1,0.2,5,2,0.7096584149140475,0.0016178934983648063
70,0,0,8,2,0.8801471965900042,0.0017118667883543044
71,0.001,0,8,2,0.8713298437085265,0.0016357217463062585
72,0.005,0,8,2,0.8463688873015129,0.001070221825563589
73,0.01,0,8,2,0.785135749918029,0.003256034617293838
74,0.02,0,8,2,0.781184725670211,0.0014119544896617168
75,0.05,0,8,2,0.7096584149140475,0.0016178934983648063
76,0.1,0,8,2,0.7096584149140475,0.0016178934983648063
77,0,0.01,8,2,0.8615993625774822,0.0018616958479939442
78,0.001,0.01,8,2,0.8612126738957329,0.0018494974278763033
79,0.005,0.01,8,2,0.8378953249176386,0.006482791483773221
80,0.01,0.01,8,2,0.785135749918029,0.003256034617293838
81,0.02,0.01,8,2,0.781184725670211,0.0014119544896617168
82,0.05,0.01,8,2,0.7096584149140475,0.0016178934983648063
83,0.1,0.01,8,2,0.7096584149140475,0.0016178934983648063
84,0,0.05,8,2,0.8119041680328509,9.889846017561337e-4
85,0.001,0.05,8,2,0.8115039638858963,8.627809184130266e-4
86,0.005,0.05,8,2,0.8098871043920871,0.0010345526234371365
87,0.01,0.05,8,2,0.7752021855043952,0.0015463837738634724
88,0.02,0.05,8,2,0.7748513786750355,0.001501228888388237
89,0.05,0.05,8,2,0.7096584149140475,0.0016178934983648063
90,0.1,0.05,8,2,0.7096584149140475,0.0016178934983648063
91,0,0.1,8,2,0.7698045478320609,0.0017262719023831553
92,0.001,0.1,8,2,0.7698045478320609,0.0017262719023831553
93,0.005,0.1,8,2,0.7698045478320609,0.0017262719023831553
94,0.01,0.1,8,2,0.7698045478320609,0.0017262719023831553
95,0.02,0.1,8,2,0.7698045478320609,0.0017262719023831553
96,0.05,0.1,8,2,0.7096584149140475,0.0016178934983648063
97,0.1,0.1,8,2,0.7096584149140475,0.0016178934983648063
98,0,0.2,8,2,0.7096584149140475,0.0016178934983648063
99,0.001,0.2,8,2,0.7096584149140475,0.0016178934983648063
100,0.005,0.2,8,2,0.7096584149140475,0.0016178934983648063
101,0.01,0.2,8,2,0.7096584149140475,0.0016178934983648063
102,0.02,0.2,8,2,0.7096584149140475,0.0016178934983648063
103,0.05,0.2,8,2,0.7096584149140475,0.0016178934983648063
104,0.1,0.2,8,2,0.7096584149140475,0.0016178934983648063
105,0,0,12,2,0.8324151014099022,0.003061103287967603
106,0.001,0,12,2,0.8717372203225756,0.0017010033716126627
107,0.005,0,12,2,0.8463688873015129,0.001070221825563589
108,0.01,0,12,2,0.785135749918029,0.003256034617293838
109,0.02,0,12,2,0.781184725670211,0.0014119544896617168
110,0.05,0,12,2,0.7096584149140475,0.0016178934983648063
111,0.1,0,12,2,0.7096584149140475,0.0016178934983648063
112,0,0.01,12,2,0.8615993625774822,0.0018616958479939442
113,0.001,0.01,12,2,0.8612126738957329,0.0018494974278763033
114,0.005,0.01,12,2,0.8378953249176386,0.006482791483773221
115,0.01,0.01,12,2,0.785135749918029,0.003256034617293838
116,0.02,0.01,12,2,0.781184725670211,0.0014119544896617168
117,0.05,0.01,12,2,0.7096584149140475,0.0016178934983648063
118,0.1,0.01,12,2,0.7096584149140475,0.0016178934983648063
119,0,0.05,12,2,0.8119041680328509,9.889846017561337e-4
120,0.001,0.05,12,2,0.8115039638858963,8.627809184130266e-4
121,0.005,0.05,12,2,0.8098871043920871,0.0010345526234371365
122,0.01,0.05,12,2,0.7752021855043952,0.0015463837738634724
123,0.02,0.05,12,2,0.7748513786750355,0.001501228888388237
124,0.05,0.05,12,2,0.7096584149140475,0.0016178934983648063
125,0.1,0.05,12,2,0.7096584149140475,0.0016178934983648063
126,0,0.1,12,2,0.7698045478320609,0.0017262719023831553
127,0.001,0.1,12,2,0.7698045478320609,0.0017262719023831553
128,0.005,0.1,12,2,0.7698045478320609,0.0017262719023831553
129,0.01,0.1,12,2,0.7698045478320609,0.0017262719023831553
130,0.02,0.1,12,2,0.7698045478320609,0.0017262719023831553
131,0.05,0.1,12,2,0.7096584149140475,0.0016178934983648063
132,0.1,0.1,12,2,0.7096584149140475,0.0016178934983648063
133,0,0.2,12,2,0.7096584149140475,0.0016178934983648063
134,0.001,0.2,12,2,0.7096584149140475,0.0016178934983648063
135,0.005,0.2,12,2,0.7096584149140475,0.0016178934983648063
136,0.01,0.2,12,2,0.7096584149140475,0.0016178934983648063
137,0.02,0.2,12,2,0.7096584149140475,0.0016178934983648063
