number,learning_rate,subsample,max_depth,colsample_bytree,value,std_err
148,0.3,0.7,9,0.75,0.8060010055829617,0.0031923935293664972
149,0.5,0.7,9,0.75,0.7972244302394407,0.0033840620908012586
150,0.05,0.85,9,0.75,0.8222250248129773,0.0030432828776408615
151,0.1,0.85,9,0.75,0.815200079857088,0.0031520565879960077
152,0.2,0.85,9,0.75,0.8140750127372726,0.00255137262872927
153,0.3,0.85,9,0.75,0.8113738735343762,0.001757469488784458
154,0.5,0.85,9,0.75,0.8064353624871999,0.0016679575825561505
155,0.05,1,9,0.75,0.8190977019984035,0.003714937862141847
156,0.1,1,9,0.75,0.811100269216198,0.003491376160358822
157,0.2,1,9,0.75,0.810161981929654,0.00316682088573391
158,0.3,1,9,0.75,0.8085430335577304,0.0018189339382125482
159,0.5,1,9,0.75,0.7986728448719121,0.003026209184584888
160,0.05,0.5,3,0.9,0.8399578204508509,0.0021867433399900024
161,0.1,0.5,3,0.9,0.8389998368691198,0.002111972102409683
162,0.2,0.5,3,0.9,0.831300963745083,0.0035690416017281038
163,0.3,0.5,3,0.9,0.8259864812401163,0.004012053229998074
164,0.5,0.5,3,0.9,0.808694306464304,0.004098147943093731
165,0.05,0.7,3,0.9,0.8388521481523167,0.001906032025850142
166,0.1,0.7,3,0.9,0.8382444102550703,0.002246407657572297
167,0.2,0.7,3,0.9,0.8314780964133649,0.0034965632025678846
168,0.3,0.7,3,0.9,0.8235126868593889,0.004150462993662923
169,0.5,0.7,3,0.9,0.8100085652086384,0.004934810134691126
170,0.05,0.85,3,0.9,0.8395542808792185,0.0019701909597680564
171,0.1,0.85,3,0.9,0.8386837917244073,0.0027150742075373597
172,0.2,0.85,3,0.9,0.8312934938916362,0.003309464034071365
173,0.3,0.85,3,0.9,0.8237051611997723,0.0036454860810905426
174,0.5,0.85,3,0.9,0.809467922004011,0.004897999097816818
175,0.05,1,3,0.9,0.8383211521126789,0.002027004327023837
176,0.1,1,3,0.9,0.8381804642899134,0.0027464325234658462
177,0.2,1,3,0.9,0.8307129891372252,0.0037059664438835317
178,0.3,1,3,0.9,0.8241148307408253,0.003423881445522209
179,0.5,1,3,0.9,0.8073644380710627,0.005457240558220491
180,0.05,0.5,5,0.9,0.8375065026246653,0.0029575164943229726
181,0.1,0.5,5,0.9,0.8284992662460101,0.0033663290526454045
182,0.2,0.5,5,0.9,0.8110662696590296,0.004015821246194537
183,0.3,0.5,5,0.9,0.7967275342482731,0.005494293870259108
184,0.5,0.5,5,0.9,0.7843409428696899,0.00605694647266416
185,0.05,0.7,5,0.9,0.8372737312721897,0.0027108831371243105
186,0.1,0.7,5,0.9,0.8259686272854653,0.0025396553291120853
187,0.2,0.7,5,0.9,0.8092115351955712,0.0038628252485455464
188,0.3,0.7,5,0.9,0.7962604841737924,0.0036224164354602966
189,0.5,0.7,5,0.9,0.7840769857165013,0.0035156088321584536
190,0.05,0.85,5,0.9,0.8359991665921356,0.0025445163545331976
191,0.1,0.85,5,0.9,0.8261136697313164,0.0035593229983851616
192,0.2,0.85,5,0.9,0.8108067676202286,0.0032014368551974894
193,0.3,0.85,5,0.9,0.8014358197226239,0.003332177800197032
194,0.5,0.85,5,0.9,0.784542963883761,0.005420151163598056
195,0.05,1,5,0.9,0.8343812231332317,0.002994687296152321
196,0.1,1,5,0.9,0.823871340316139,0.003632459184091205
197,0.2,1,5,0.9,0.808264940628064,0.003599857087440639
198,0.3,1,5,0.9,0.7996080839222961,0.004854681597366936
199,0.5,1,5,0.9,0.7810273426783545,0.0049861313268502756
200,0.05,0.5,7,0.9,0.8279538329559885,0.002385306280511145
201,0.1,0.5,7,0.9,0.8174669626470481,0.0025459055598856064
202,0.2,0.5,7,0.9,0.8039351053969523,0.004185619416780561
203,0.3,0.5,7,0.9,0.8022790087403985,0.003970585664928768
204,0.5,0.5,7,0.9,0.7909418145312432,0.0019024744969500188
205,0.05,0.7,7,0.9,0.8271845050451658,0.0027728370719038464
206,0.1,0.7,7,0.9,0.815701732436549,0.002113165203412856
207,0.2,0.7,7,0.9,0.8050296231609674,0.0016626719112739898
208,0.3,0.7,7,0.9,0.7994305157917057,0.002293514705972379
