draw,hl_measure,term,estimate,std_error
13,VL,age_group30-44,-0.035697799287730064,0.041787361470230065
13,VL,age_group45-64,0.12034638298913622,0.038215105260818547
13,VL,age_group65+,0.4693754570667253,0.046791341989844006
13,VL,region_hls19North East,-0.10834034255979584,0.039563970809891345
13,VL,region_hls19North West,-0.060462654026380326,0.036592083485567584
13,VL,region_hls19South and Islands,-0.04564605936255549,0.03514852858905305
14,HL_COVID,hl_covid_num,0.02864627163338447,0.014282018821207549
14,HL_COVID,age_group30-44,-0.033952227862860104,0.04179809350250008
14,HL_COVID,age_group45-64,0.12248700774258485,0.038237948363331775
14,HL_COVID,age_group65+,0.4724212394452895,0.04683166451679511
14,HL_COVID,region_hls19North East,-0.10574741554399619,0.03958834086761973
14,HL_COVID,region_hls19North West,-0.05974878232848611,0.03659640004253628
14,HL_COVID,region_hls19South and Islands,-0.04135560498615012,0.0351282669520053
14,VL,vl_num,-2.838712450789756e-4,0.014073793818029786
14,VL,age_group30-44,-0.035830884730781366,0.0417871526061908
14,VL,age_group45-64,0.1197666500626841,0.03821372573462138
14,VL,age_group65+,0.46840559854711833,0.046785146129652816
14,VL,region_hls19North East,-0.10849650604117712,0.03956754296504585
14,VL,region_hls19North West,-0.06076179462447947,0.0365914922598882
14,VL,region_hls19South and Islands,-0.04336442997357444,0.0351271863673019
15,HL_COVID,hl_covid_num,0.012627664827213187,0.014270042961865077
15,HL_COVID,age_group30-44,-0.034638210690065944,0.04180834720837596
15,HL_COVID,age_group45-64,0.1213687045571776,0.03825536581407946
15,HL_COVID,age_group65+,0.4704104817995867,0.046841549441997005
15,HL_COVID,region_hls19North East,-0.10767709901683951,0.03957416173694068
15,HL_COVID,region_hls19North West,-0.060299337716752444,0.036594570385973184
15,HL_COVID,region_hls19South and Islands,-0.04248395853636072,0.03512597579138895
15,VL,vl_num,-0.0022126990624210282,0.014040130807411127
15,VL,age_group30-44,-0.03583432657815431,0.04178622247514464
15,VL,age_group45-64,0.11979360201416951,0.03821219968806639
15,VL,age_group65+,0.4685551264186722,0.04679471337884765
15,VL,region_hls19North East,-0.108543804832964,0.039564310750005126
15,VL,region_hls19North West,-0.06078523588682616,0.03659085976773802
15,VL,region_hls19South and Islands,-0.04356128468665314,0.035138231101552765
16,HL_COVID,hl_covid_num,-0.004613751951687689,0.014202769221176739
