model_number,model_type,draw,metric,Q_i,U_i
model_1,xgboost,12,f1,0.8953079349021366,1.1654885535626812e-5
model_1,xgboost,13,precision,0.9833591539572003,5.110890875496028e-7
model_1,xgboost,13,recall,0.8218330215949669,3.3017252189394394e-5
model_1,xgboost,13,roc_auc,0.8169918327247012,5.24979415312385e-5
model_1,xgboost,13,accuracy,0.8158160769607044,2.9698230343745223e-5
model_1,xgboost,13,f1,0.8953253801274461,1.1856914723427902e-5
model_1,xgboost,14,precision,0.9834334312500603,6.746961129433343e-7
model_1,xgboost,14,recall,0.8215949668423738,2.9773180087839085e-5
model_1,xgboost,14,roc_auc,0.816854519396604,4.716587922010419e-5
model_1,xgboost,14,accuracy,0.8156530246209033,2.7475635266724293e-5
model_1,xgboost,14,f1,0.8952197585923447,1.09064908441189e-5
model_1,xgboost,15,precision,0.9836399514702027,4.740759697172306e-7
model_1,xgboost,15,recall,0.8217650059513688,3.828814652195718e-5
model_1,xgboost,15,roc_auc,0.8176805585919682,5.1630771438679625e-5
model_1,xgboost,15,accuracy,0.8159791293005054,3.371804344955364e-5
model_1,xgboost,15,f1,0.8953934778671209,1.3529765006689988e-5
model_1,xgboost,16,precision,0.9833216637817307,4.615128420051492e-7
model_1,xgboost,16,recall,0.8218670294167658,3.5796398449657363e-5
model_1,xgboost,16,roc_auc,0.8167172735443438,5.569636744104373e-5
model_1,xgboost,16,accuracy,0.8158160769607044,3.1487472552878235e-5
model_1,xgboost,16,f1,0.89532544410227,1.2643113981584874e-5
model_1,xgboost,17,precision,0.9835672294472182,6.27088567977173e-7
model_1,xgboost,17,recall,0.8221050841693589,3.062323106632146e-5
model_1,xgboost,17,roc_auc,0.8174708436908743,5.784348833527178e-5
model_1,xgboost,17,accuracy,0.8162400130441871,2.6966246251464616e-5
model_1,xgboost,17,f1,0.8955752514072184,1.077772546373976e-5
model_1,xgboost,18,precision,0.9834729361421984,4.803244792815275e-7
model_1,xgboost,18,recall,0.8213569120897807,2.953666930539066e-5
model_1,xgboost,18,roc_auc,0.8163715948318907,5.14956694206388e-5
model_1,xgboost,18,accuracy,0.815457361813142,2.5550272402156622e-5
model_1,xgboost,18,f1,0.8950930392618835,1.0271804934718374e-5
model_1,xgboost,19,precision,0.9834992399830652,3.650908448817939e-7
model_1,xgboost,19,recall,0.8227852406053392,2.825234058211908e-5
model_1,xgboost,19,roc_auc,0.8169690933676651,4.763132780822566e-5
model_1,xgboost,19,accuracy,0.816827001467471,2.479841846940359e-5
model_1,xgboost,19,f1,0.8959540275777089,9.924471292978173e-6
model_1,xgboost,20,precision,0.9834575753899877,5.699925828320278e-7
model_1,xgboost,20,recall,0.8207107634755993,3.1650231432161355e-5
model_1,xgboost,20,roc_auc,0.8166821861091543,5.563497981492099e-5
model_1,xgboost,20,accuracy,0.8148377629218979,2.8411464772838383e-5
model_1,xgboost,20,f1,0.8947011833106696,1.1373684713914242e-5
model_1,rf,1,precision,0.9805853533357461,5.179570878512228e-7
model_1,rf,1,recall,0.8653630334977045,8.799473292222327e-6
model_1,rf,1,roc_auc,0.8100184074083071,6.254203396034913e-5
model_1,rf,1,accuracy,0.8544594814935594,6.342371789164355e-6
model_1,rf,1,f1,0.9193644511088762,2.3597291503941512e-6
model_1,rf,2,precision,0.9806237015282179,5.467505621242959e-7
model_1,rf,2,recall,0.8654650569631015,7.223698519185163e-6
model_1,rf,2,roc_auc,0.8109036903884719,6.041319100229428e-5
model_1,rf,2,accuracy,0.8545899233654003,5.602747446547924e-6
model_1,rf,2,f1,0.919441628261777,2.0543026565395395e-6
model_1,rf,3,precision,0.9805905783015383,7.008515599690112e-7
model_1,rf,3,recall,0.8655670804284985,6.582401556507017e-6
model_1,rf,3,roc_auc,0.8105776471445575,5.7043717502900934e-5
model_1,rf,3,accuracy,0.8546551443013207,4.523884907965254e-6
model_1,rf,3,f1,0.9194844411617551,1.6870400385650863e-6
model_1,rf,4,precision,0.9807266566240403,5.687077614778884e-7
model_1,rf,4,recall,0.8649549396361164,8.044836199079724e-6
model_1,rf,4,roc_auc,0.8106664453459216,6.416809542669562e-5
model_1,rf,4,accuracy,0.8541985977498777,6.126492937185737e-6
model_1,rf,4,f1,0.9191975644719159,2.2573848614661606e-6
model_1,rf,5,precision,0.9806563498967,6.720934507799497e-7
model_1,rf,5,recall,0.8651249787451114,9.932874596865588e-6
model_1,rf,5,roc_auc,0.8098352779869529,6.106120546251433e-5
model_1,rf,5,accuracy,0.8542964291537584,7.466962360432129e-6
model_1,rf,5,f1,0.9192597212498982,2.7607712201507216e-6
model_1,rf,6,precision,0.9806096493434693,6.129938794299907e-7
model_1,rf,6,recall,0.8648189083489203,9.40260470076453e-6
model_1,rf,6,roc_auc,0.8111386412525674,5.953865479799531e-5
model_1,rf,6,accuracy,0.8539703244741562,7.631795966622683e-6
model_1,rf,6,f1,0.9190679961877991,2.785105672450609e-6
model_1,rf,7,precision,0.9807185038611809,4.907049649513948e-7
model_1,rf,7,recall,0.8645808535963272,8.681507033983859e-6
model_1,rf,7,roc_auc,0.8106401297695295,5.365972829284629e-5
model_1,rf,7,accuracy,0.8538398826023154,6.5072053953549436e-6
model_1,rf,7,f1,0.9189818332853756,2.4064576031169026e-6
model_1,rf,8,precision,0.9807849090545645,8.035730704803943e-7
model_1,rf,8,recall,0.86413875191294,7.803699288857182e-6
model_1,rf,8,roc_auc,0.8109036903884719,5.672008850776305e-5
model_1,rf,8,accuracy,0.853481167454753,6.291858264686586e-6
model_1,rf,8,f1,0.9187623373077942,2.2936852619583127e-6
model_1,rf,9,precision,0.9807727426169429,5.683746516525084e-7
model_1,rf,9,recall,0.8653290256759055,7.971396420666616e-6
model_1,rf,9,roc_auc,0.8100686094309627,5.773041390811428e-5
model_1,rf,9,accuracy,0.8545899233654003,6.017490068575826e-6
model_1,rf,9,f1,0.9194290702139917,2.214841147915269e-6
model_1,rf,10,precision,0.9806875816743691,5.933097150879871e-7
model_1,rf,10,recall,0.8648529161707192,8.542144934790564e-6
model_1,rf,10,roc_auc,0.8108262281277074,5.7876294612096884e-5
model_1,rf,10,accuracy,0.8540681558780369,6.2716528548954535e-6
model_1,rf,10,f1,0.9191217540054469,2.3233457202138344e-6
model_1,rf,11,precision,0.9804194254572242,4.921226431278812e-7
model_1,rf,11,recall,0.8647168848835232,7.597258336940065e-6
model_1,rf,11,roc_auc,0.8100804851782577,5.8693709112909575e-5
model_1,rf,11,accuracy,0.8537094407304745,5.387400315879715e-6
model_1,rf,11,f1,0.9189284290639012,2.0145062414230413e-6
model_1,rf,12,precision,0.9806441074287785,5.07296363024709e-7
model_1,rf,12,recall,0.8646488692399252,8.523640423694297e-6
model_1,rf,12,roc_auc,0.8103238030461292,5.897177308242445e-5
model_1,rf,12,accuracy,0.8538398826023154,6.488595149494663e-6
model_1,rf,12,f1,0.9189878899869439,2.3989125499687746e-6
model_1,rf,13,precision,0.9806912167103379,5.41017686354367e-7
model_1,rf,13,recall,0.8650569631015134,9.384100189668352e-6
model_1,rf,13,roc_auc,0.8104904683632791,6.038966022857698e-5
model_1,rf,13,accuracy,0.8542638186857981,7.197911377424347e-6
model_1,rf,13,f1,0.919237875077157,2.651492175660511e-6
model_1,rf,14,precision,0.9804856982326308,6.679284749272574e-7
model_1,rf,14,recall,0.8643427988437341,6.706150474462861e-6
model_1,rf,14,roc_auc,0.8108972127081292,5.890227180302847e-5
model_1,rf,14,accuracy,0.8534159465188326,5.357092201193072e-6
model_1,rf,14,f1,0.9187480003152899,1.9553386313019336e-6
model_1,rf,15,precision,0.9806606974413712,6.610409309735091e-7
model_1,rf,15,recall,0.8653290256759054,9.032514478840214e-6
model_1,rf,15,roc_auc,0.8107391842981029,5.624752869786026e-5
model_1,rf,15,accuracy,0.8544920919615197,6.687990640854133e-6
model_1,rf,15,f1,0.9193779876884254,2.4692947163872945e-6
model_1,rf,16,precision,0.9808856423529008,5.939121791608514e-7
model_1,rf,16,recall,0.8652270022105084,9.528666682607473e-6
model_1,rf,16,roc_auc,0.8108798039422084,5.753390710373662e-5
model_1,rf,16,accuracy,0.8545899233654003,6.8655855584917216e-6
model_1,rf,16,f1,0.919418393010057,2.5539829733192344e-6
model_1,rf,17,precision,0.9807415050837786,5.032375149163373e-7
model_1,rf,17,recall,0.8639006971603469,8.64681107567844e-6
model_1,rf,17,roc_auc,0.8109490341508705,5.736801686186336e-5
model_1,rf,17,accuracy,0.8532202837110713,6.490722034735843e-6
model_1,rf,17,f1,0.9186075775083268,2.4049454398478116e-6
