number,max_depth,min_samples_leaf,max_features,min_samples_split,value,std_err
167,32,5,all,50,0.8152743764263484,0.001626174389675953
168,4,20,all,50,0.8052831627158511,0.002712892762739688
169,8,20,all,50,0.8214907348694434,0.001285388683302016
170,16,20,all,50,0.8212386691869885,0.0018277199492375325
171,32,20,all,50,0.8211223337564016,0.0017106324886527083
172,4,50,all,50,0.8050609429500829,0.0026567537841020155
173,8,50,all,50,0.8215353530075205,0.0015677782812734478
174,16,50,all,50,0.8219654892770756,0.0011902921106691842
175,32,50,all,50,0.8218247344601088,0.001169801382093469
176,4,100,all,50,0.8054200988633429,0.002526093058122056
177,8,100,all,50,0.8189275032299579,0.0016207264833731885
178,16,100,all,50,0.8203718982103504,0.0012961854218919192
179,32,100,all,50,0.8204529946910445,0.0012567008044472431
180,4,1,sqrt,150,0.8199137248675441,0.001325709564875702
181,8,1,sqrt,150,0.8322920759593654,0.0011901724681918958
182,16,1,sqrt,150,0.8340069935246754,0.0016471653139932157
183,32,1,sqrt,150,0.8335155240638147,0.0016463341647330954
184,4,5,sqrt,150,0.8198951674737793,0.0013233793637299834
185,8,5,sqrt,150,0.8322864484464547,0.00121148447837313
186,16,5,sqrt,150,0.8341379671882501,0.0016896707928107941
187,32,5,sqrt,150,0.8336623753531013,0.0017421238611160128
188,4,20,sqrt,150,0.819874801236579,0.0013135745752657366
189,8,20,sqrt,150,0.8317801062729016,0.0012797794699922881
190,16,20,sqrt,150,0.8329894186008729,0.0013650016418925756
191,32,20,sqrt,150,0.8328658812936447,0.001409468534594699
192,4,50,sqrt,150,0.8198468981517305,0.001322576007027818
193,8,50,sqrt,150,0.8312598962996758,0.0011426017156928186
194,16,50,sqrt,150,0.8331572390751718,0.001175572505259704
195,32,50,sqrt,150,0.8329710621897122,0.0011797836540213885
196,4,100,sqrt,150,0.819633923585744,0.0013465413761206098
197,8,100,sqrt,150,0.8300916514171116,0.0010716188193411822
198,16,100,sqrt,150,0.8323831880731563,9.793711733134187e-4
199,32,100,sqrt,150,0.8323344162945976,9.836522285424521e-4
200,4,1,log2,150,0.8201722219933254,0.001692032037832805
201,8,1,log2,150,0.830807752434988,0.0015238106022474537
202,16,1,log2,150,0.8333753052004583,0.0013418186507009136
203,32,1,log2,150,0.8327730943248207,0.0013399851293348424
204,4,5,log2,150,0.8201574832690356,0.0016870923351641907
205,8,5,log2,150,0.8306864929306044,0.0014979067514135404
206,16,5,log2,150,0.833444979169828,0.0014401983880968372
207,32,5,log2,150,0.8330550059239622,0.0014281702492118667
208,4,20,log2,150,0.8201312885363208,0.0016763314334958996
209,8,20,log2,150,0.8306550726501868,0.001429646924288632
210,16,20,log2,150,0.8330667299091927,0.0010710034159053606
211,32,20,log2,150,0.8328071273790897,0.0010707723592864437
212,4,50,log2,150,0.8200348838806257,0.0016730717879544792
213,8,50,log2,150,0.8302776273199673,0.0012960570273477794
214,16,50,log2,150,0.8332891506575648,0.0010923398546396309
215,32,50,log2,150,0.8331670202285641,0.0010859607167001376
216,4,100,log2,150,0.8198119941728443,0.001686092805678969
217,8,100,log2,150,0.8291362471121312,0.0012735468923471918
218,16,100,log2,150,0.8315059660011128,0.0011509061122370406
219,32,100,log2,150,0.8314772924829491,0.0011387120623134802
220,4,1,all,150,0.8053892480336364,0.002622961837587957
221,8,1,all,150,0.8201359111362116,0.001523385296995443
222,16,1,all,150,0.8151872504675358,0.001950454864107169
223,32,1,all,150,0.8149720650929059,0.0020066920435078905
224,4,5,all,150,0.8053912578596759,0.0026269305211552236
225,8,5,all,150,0.8204446874100811,0.001444785332974367
226,16,5,all,150,0.8183242874413005,0.0018527620373932044
227,32,5,all,150,0.8183990529699702,0.001859406534700899
228,4,20,all,150,0.8052831627158511,0.002712892762739688
229,8,20,all,150,0.8217774700510797,0.0011403805441002552
230,16,20,all,150,0.8215505606912193,0.001777859309320935
231,32,20,all,150,0.8213959715716805,0.001711626244068776
232,4,50,all,150,0.8050609429500829,0.0026567537841020155
233,8,50,all,150,0.821561581237336,0.0015156684783076207
234,16,50,all,150,0.822033320905909,0.0011128243387667936
235,32,50,all,150,0.8219885687794293,0.0010236227858083492
236,4,100,all,150,0.8054200988633429,0.002526093058122056
237,8,100,all,150,0.8189275032299579,0.0016207264833731885
238,16,100,all,150,0.8203718982103504,0.0012961854218919192
239,32,100,all,150,0.8204529946910445,0.0012567008044472431
